"Date","Price","Open","High","Low","Vol.","Change %"
"05/06/2024","7,181","7,197","7,199","7,130","73.82K","0.56%"
"05/03/2024","7,141","7,150","7,175","7,105","214.77K","0.46%"
"05/02/2024","7,108","6,800","7,150","6,800","86.41K","-0.03%"
"04/30/2024","7,110","7,050","7,150","6,961","107.58K","-0.04%"
"04/29/2024","7,113","7,030","7,130","7,011","368.76K","1.37%"
"04/26/2024","7,017","6,999","7,030","6,963","98.93K","1.42%"
"04/25/2024","6,919","6,975","6,985","6,868","170.62K","-0.35%"
"04/24/2024","6,943","6,999","6,999","6,902","100.78K","0.23%"
"04/23/2024","6,927","6,875","6,950","6,868","77.19K","0.68%"
"04/22/2024","6,880","6,867","6,909","6,843","113.92K","0.63%"
"04/19/2024","6,837","6,846","6,847","6,751","196.93K","-0.16%"
"04/18/2024","6,848","6,850","6,865","6,781","78.28K","0.28%"
"04/17/2024","6,829","6,754","6,999","6,754","222.78K","0.72%"
"04/16/2024","6,780","6,889","6,952","6,761","247.37K","-2.47%"
"04/15/2024","6,952","6,980","7,021","6,912","122.30K","-0.43%"
"04/12/2024","6,982","7,089","7,089","6,992","223.78K","-0.17%"
"04/11/2024","6,994","6,900","7,061","6,900","121.76K","-0.54%"
"04/10/2024","7,032","7,026","7,080","6,945","243.64K","0.46%"
"04/09/2024","7,000","6,982","7,057","6,977","280.44K","0.26%"
"04/08/2024","6,982","6,925","6,993","6,924","111.37K","0.71%"
"04/05/2024","6,933","6,970","6,970","6,876","67.29K","-0.66%"
"04/04/2024","6,979","6,899","6,998","6,859","145.41K","1.65%"
"04/03/2024","6,866","6,870","6,891","6,825","213.51K","0.07%"
"04/02/2024","6,861","6,801","6,947","6,801","306.63K","-0.33%"
"03/28/2024","6,884","6,837","6,900","6,821","173.43K","0.91%"
"03/27/2024","6,822","6,850","6,850","6,750","143.39K","0.56%"
"03/26/2024","6,784","6,798","6,824","6,734","724.35K","0.43%"
"03/25/2024","6,755","6,600","6,779","6,600","135.96K","0.25%"
"03/22/2024","6,738","6,690","6,838","6,652","81.42K","1.45%"
"03/20/2024","6,642","6,655","6,672","6,586","94.68K","0.48%"
"03/19/2024","6,610","6,604","6,833","6,570","149.71K","-0.63%"
"03/18/2024","6,652","6,708","6,844","6,633","117.97K","-0.85%"
"03/15/2024","6,709","6,797","6,797","6,650","193.50K","-0.49%"
"03/14/2024","6,742","6,848","6,848","6,700","78.96K","-0.72%"
"03/13/2024","6,791","6,714","6,825","6,640","120.26K","0.94%"
"03/12/2024","6,728","6,727","6,817","6,712","129.76K","0.21%"
"03/11/2024","6,714","6,798","6,798","6,674","96.23K","-0.40%"
"03/08/2024","6,741","6,770","6,770","6,690","102.71K","0.43%"
"03/07/2024","6,712","6,709","6,733","6,651","149.11K","0.15%"
"03/06/2024","6,702","6,583","6,704","6,583","320.84K","1.85%"
"03/05/2024","6,580","6,600","6,626","6,561","164.36K","-0.66%"
"03/04/2024","6,624","6,575","6,780","6,575","462.58K","-0.30%"
"03/01/2024","6,644","6,650","6,678","6,596","287.78K","0.08%"
"02/29/2024","6,639","6,743","6,743","6,596","143.70K","0.45%"
"02/28/2024","6,609","6,683","6,683","6,582","265.29K","-1.20%"
"02/27/2024","6,689","6,799","6,874","6,659","183.67K","-0.83%"
"02/26/2024","6,745","6,795","6,795","6,688","288.10K","-0.63%"
"02/23/2024","6,788","6,820","6,820","6,735","291.61K","0.35%"
"02/22/2024","6,764","6,698","6,765","6,641","209.56K","1.76%"
"02/21/2024","6,647","6,654","6,692","6,610","145.88K","-0.11%"
"02/20/2024","6,654","6,709","6,709","6,620","136.31K","-0.82%"
"02/19/2024","6,709","6,848","6,848","6,659","122.08K","-0.15%"
"02/16/2024","6,719","6,758","6,767","6,687","129.62K","0.55%"
"02/15/2024","6,682","6,659","6,697","6,613","225.79K","0.50%"
"02/14/2024","6,649","6,660","6,671","6,604","349.40K","-0.31%"
"02/13/2024","6,670","6,722","6,758","6,638","135.96K","-0.77%"
"02/12/2024","6,722","6,713","6,715","6,644","313.22K","0.52%"
"02/09/2024","6,687","6,772","6,772","6,651","95.18K","-0.65%"
"02/08/2024","6,731","6,850","6,850","6,687","173.74K","-0.85%"
"02/07/2024","6,789","6,899","6,899","6,754","155.49K","-0.07%"
"02/06/2024","6,794","6,801","6,850","6,749","222.57K","0.58%"
"02/05/2024","6,755","6,879","6,879","6,704","288.88K","-0.46%"
"02/02/2024","6,786","6,836","6,900","6,759","73.15K","-0.19%"
"02/01/2024","6,799","6,796","6,804","6,706","170.54K","0.03%"
"01/31/2024","6,797","6,815","6,815","6,729","229.69K","-0.26%"
"01/30/2024","6,815","6,800","6,854","6,780","115.11K","0.13%"
"01/29/2024","6,806","6,800","6,881","6,701","107.17K","-0.79%"
"01/26/2024","6,860","6,788","6,850","6,701","113.93K","1.40%"
"01/25/2024","6,765","6,816","6,881","6,750","140.14K","-0.44%"
"01/24/2024","6,795","6,689","6,833","6,689","243.36K","1.74%"
"01/23/2024","6,679","6,643","6,710","6,642","188.52K","1.15%"
"01/22/2024","6,603","6,610","6,708","6,562","424.57K","-0.36%"
"01/19/2024","6,627","6,600","6,675","6,600","61.24K","0.26%"
"01/18/2024","6,610","6,400","6,637","6,400","199.18K","1.01%"
"01/17/2024","6,544","6,670","6,750","6,535","282.46K","-2.34%"
"01/16/2024","6,701","6,900","6,900","6,677","166.52K","-0.77%"
"01/15/2024","6,753","6,833","6,837","6,719","140.95K","-1.05%"
"01/12/2024","6,825","6,753","6,899","6,746","92.50K","0.57%"
"01/11/2024","6,786","6,800","6,833","6,770","99.51K","0.52%"
"01/10/2024","6,751","6,760","6,798","6,718","67.62K","-0.40%"
"01/09/2024","6,778","6,900","6,900","6,778","63.69K","-0.31%"
"01/08/2024","6,799","6,835","6,835","6,750","77.98K","-0.53%"
"01/05/2024","6,835","6,857","6,857","6,775","91.90K","-0.18%"
"01/04/2024","6,847","6,893","6,920","6,840","43.39K","-0.28%"
"01/03/2024","6,866","6,918","6,965","6,860","186.28K","-1.68%"
"01/02/2024","6,983","7,050","7,073","6,957","98.58K","-1.17%"
"12/29/2023","7,066","7,085","7,096","7,029","16.04K","0.20%"
"12/28/2023","7,052","6,935","7,102","6,935","78.43K","-0.20%"
"12/27/2023","7,066","7,000","7,089","6,915","323.23K","3.20%"
"12/22/2023","6,847","6,836","6,972","6,824","94.68K","-1.64%"
"12/21/2023","6,961","6,801","6,977","6,801","330.23K","0.81%"
"12/20/2023","6,905","6,900","6,987","6,740","119.37K","0.48%"
"12/19/2023","6,872","6,830","6,895","6,675","105.48K","0.09%"
"12/18/2023","6,866","7,094","7,094","6,711","124.99K","-1.39%"
"12/14/2023","6,963","6,771","7,040","6,771","260.47K","3.69%"
"12/13/2023","6,715","6,723","6,738","6,655","105.85K","0.10%"
"12/12/2023","6,708","6,847","7,098","6,700","488.57K","-1.32%"
"12/11/2023","6,798","6,809","7,049","6,744","221.62K","-0.28%"
"12/08/2023","6,817","7,073","7,076","6,786","176.89K","-1.27%"
"12/07/2023","6,905","7,005","7,005","6,896","185.83K","-0.89%"
"12/06/2023","6,967","6,999","7,024","6,787","98.18K","0.49%"
"12/05/2023","6,933","6,980","6,999","6,910","63.51K","-1.24%"
"12/04/2023","7,020","7,098","7,098","6,982","211.76K","0.57%"
"12/01/2023","6,980","7,029","7,057","6,963","186.92K","-0.57%"
"11/30/2023","7,020","6,999","7,048","6,960","295.50K","0.79%"
"11/29/2023","6,965","6,995","6,999","6,948","130.22K","-0.19%"
"11/28/2023","6,978","6,974","6,996","6,925","51.72K","0.11%"
"11/27/2023","6,970","7,100","7,100","6,920","287.43K","-0.29%"
"11/24/2023","6,990","6,958","7,001","6,803","210.30K","0.46%"
"11/23/2023","6,958","6,901","6,974","6,901","162.09K","1.12%"
"11/22/2023","6,881","6,850","6,929","6,847","71.81K","0.53%"
"11/21/2023","6,845","6,800","6,967","6,667","128.44K","0.09%"
"11/20/2023","6,839","6,835","6,861","6,809","286.34K","0.31%"
"11/17/2023","6,818","6,739","6,835","6,739","193.58K","0.24%"
"11/16/2023","6,802","6,900","6,900","6,779","100.36K","-1.59%"
"11/15/2023","6,912","6,797","6,968","6,783","371.42K","2.16%"
"11/14/2023","6,766","6,632","6,785","6,599","129.36K","2.50%"
"11/13/2023","6,601","6,600","6,637","6,565","208.24K","0.43%"
"11/10/2023","6,573","6,691","6,691","6,507","56.07K","-1.16%"
"11/09/2023","6,650","6,676","6,676","6,590","103.70K","-0.14%"
"11/08/2023","6,659","6,800","6,800","6,570","58.08K","1.17%"
"11/07/2023","6,582","6,737","6,737","6,575","151.87K","-2.30%"
"11/06/2023","6,737","6,898","6,898","6,717","128.04K","0.34%"
"11/03/2023","6,714","6,632","6,743","6,582","238.12K","2.49%"
"11/02/2023","6,551","6,350","6,600","6,350","212.64K","1.93%"
"11/01/2023","6,427","6,477","6,477","6,346","205.33K","0.23%"
"10/31/2023","6,412","6,400","6,500","6,400","119.76K","-0.57%"
"10/30/2023","6,449","6,600","6,600","6,419","803.97K","0.55%"
"10/27/2023","6,414","6,645","6,645","6,401","140.20K","-0.79%"
"10/26/2023","6,465","6,600","6,600","6,400","92.51K","-0.28%"
"10/25/2023","6,483","6,514","6,524","6,437","140.73K","-0.48%"
"10/24/2023","6,514","6,645","6,645","6,457","855.94K","0.49%"
"10/23/2023","6,482","6,600","6,600","6,414","257.37K","0.06%"
"10/20/2023","6,478","6,574","6,606","6,465","161.73K","-1.61%"
"10/19/2023","6,584","6,676","6,676","6,576","91.71K","-0.92%"
"10/18/2023","6,645","6,900","6,900","6,630","653.29K","-2.58%"
"10/17/2023","6,821","6,827","6,845","6,750","115.08K","-0.34%"
