"Date","Price","Open","High","Low","Vol.","Change %"
"05/06/2024","49,163","50,175","50,175","48,401","0.99K","-0.39%"
"05/03/2024","49,354","50,060","50,060","48,600","1.81K","0.99%"
"05/02/2024","48,872","49,790","49,790","48,536","3.80K","-2.36%"
"04/30/2024","50,052","50,047","50,160","49,900","0.84K","0.23%"
"04/29/2024","49,937","50,264","50,310","50,000","1.09K","-0.16%"
"04/26/2024","50,016","51,104","51,104","50,209","0.32K","0.51%"
"04/25/2024","49,763","50,559","50,599","49,906","0.87K","-2.25%"
"04/24/2024","50,910","50,958","51,110","50,530","1.34K","1.14%"
"04/23/2024","50,335","50,469","50,548","50,168","0.97K","0.83%"
"04/22/2024","49,921","49,900","50,147","49,409","0.77K","-0.08%"
"04/19/2024","49,961","49,802","50,293","49,802","0.39K","-0.69%"
"04/18/2024","50,309","50,139","50,276","49,898","1.16K","0.20%"
"04/17/2024","50,209","50,344","50,556","49,862","0.78K","0.34%"
"04/16/2024","50,037","50,657","50,657","50,143","2.05K","-1.82%"
"04/15/2024","50,966","50,768","51,426","50,501","0.85K","0.30%"
"04/12/2024","50,814","50,957","51,061","50,390","1.74K","0.69%"
"04/11/2024","50,467","51,759","51,759","50,279","5.15K","0.08%"
"04/10/2024","50,425","50,312","50,617","50,031","1.66K","1.23%"
"04/09/2024","49,814","50,657","50,657","50,000","2.04K","-1.59%"
"04/08/2024","50,617","50,732","50,844","50,102","0.99K","0.37%"
"04/05/2024","50,432","50,500","50,500","50,000","0.69K","-1.16%"
"04/04/2024","51,023","50,800","51,372","50,501","0.89K","0.20%"
"04/03/2024","50,920","51,224","51,254","50,704","2.30K","0.33%"
"04/02/2024","50,752","51,944","51,984","50,600","5.17K","-2.27%"
"03/28/2024","51,932","51,903","52,328","51,489","0.73K","1.00%"
"03/27/2024","51,419","52,500","52,500","51,308","1.75K","-0.67%"
"03/26/2024","51,764","52,033","52,169","51,370","0.75K","0.83%"
"03/25/2024","51,336","52,382","52,382","51,188","2.55K","-0.96%"
"03/22/2024","51,836","51,711","52,237","50,687","0.98K","1.82%"
"03/20/2024","50,910","51,316","51,316","50,866","1.85K","0.51%"
"03/19/2024","50,652","51,223","51,223","50,696","0.82K","-0.58%"
"03/18/2024","50,950","50,658","51,206","49,654","1.11K","1.91%"
"03/15/2024","49,995","50,833","50,833","49,995","1.22K","-0.74%"
"03/14/2024","50,369","50,725","51,399","49,721","1.37K","0.58%"
"03/13/2024","50,079","50,908","50,908","50,172","1.05K","-0.55%"
"03/12/2024","50,355","50,320","50,921","49,536","2.39K","1.65%"
"03/11/2024","49,539","50,974","50,974","49,659","0.56K","-1.28%"
"03/08/2024","50,179","50,367","50,395","50,100","1.18K","-0.17%"
"03/07/2024","50,265","50,678","50,678","49,783","1.62K","0.18%"
"03/06/2024","50,176","51,028","51,028","50,069","1.93K","-0.67%"
"03/05/2024","50,513","51,382","51,426","50,452","2.24K","-0.83%"
"03/04/2024","50,937","51,504","52,019","50,900","2.13K","-0.23%"
"03/01/2024","51,056","51,277","52,278","51,000","1.20K","0.20%"
"02/29/2024","50,952","51,503","51,855","50,756","3.00K","0.61%"
