"Date","Price","Open","High","Low","Vol.","Change %"
"05/06/2024","23.96","23.84","23.97","23.84","60.55K","0.88%"
"05/03/2024","23.75","23.70","23.79","23.64","307.77K","0.55%"
"05/02/2024","23.62","23.60","23.67","23.51","410.88K","-0.08%"
"05/01/2024","23.64","23.83","23.92","23.59","335.41K","-1.38%"
"04/30/2024","23.97","24.98","24.98","23.96","422.17K","-1.84%"
"04/29/2024","24.42","24.44","24.51","24.35","287.70K","-0.08%"
"04/26/2024","24.44","24.52","24.56","24.40","319.90K","-0.08%"
"04/25/2024","24.46","24.35","24.49","24.30","429.84K","0.37%"
"04/24/2024","24.37","24.31","24.42","24.31","521.18K","-0.04%"
"04/23/2024","24.38","24.09","24.40","24.06","495.89K","0.08%"
"04/22/2024","24.36","24.18","24.40","24.17","594.11K","-0.20%"
"04/19/2024","24.41","24.25","24.46","24.23","398.05K","1.03%"
"04/18/2024","24.16","24.24","24.27","24.13","452.36K","-0.17%"
"04/17/2024","24.20","24.32","24.42","24.11","508.73K","-0.58%"
"04/16/2024","24.34","24.38","24.45","24.25","404.68K","-0.73%"
"04/15/2024","24.52","24.46","24.52","24.27","420.17K","0.57%"
"04/12/2024","24.38","24.65","24.79","24.36","650.91K","0.12%"
"04/11/2024","24.35","24.34","24.38","24.24","385.05K","-0.49%"
"04/10/2024","24.47","24.38","24.50","24.31","1.98M","0.33%"
"04/09/2024","24.39","24.47","24.52","24.33","655.26K","-0.20%"
"04/08/2024","24.44","24.50","24.53","24.31","345.94K","-0.08%"
"04/05/2024","24.46","24.33","24.56","24.33","324.40K","0.58%"
"04/04/2024","24.32","24.18","24.40","24.16","567.04K","0.25%"
"04/03/2024","24.26","24.25","24.29","24.15","595.31K","0.83%"
"04/02/2024","24.06","24.00","24.08","23.97","348.31K","0.59%"
"04/01/2024","23.92","24.25","24.25","23.73","655.24K","0.84%"
"03/28/2024","23.72","23.62","23.77","23.58","838.31K","0.81%"
"03/27/2024","23.53","23.50","23.54","23.44","302.37K","-0.08%"
"03/26/2024","23.55","23.81","23.81","23.55","384.82K","-0.67%"
